Team,Stadium,Location,Capacity_raw,Season,Tier,Country,SourceURL,Capacity,City,GeoPlace,MapLabel
Fleetwood Town,Highbury Stadium,Fleetwood,5327,2024–25,4,England,https://en.wikipedia.org/wiki/2024–25_EFL_League_Two,5327,Fleetwood,"Highbury Stadium, Fleetwood, England",Highbury Stadium (Fleetwood Town) — Fleetwood
Gillingham,Priestfield Stadium,Gillingham,11582,2024–25,4,England,https://en.wikipedia.org/wiki/2024–25_EFL_League_Two,11582,Gillingham,"Priestfield Stadium, Gillingham, England",Priestfield Stadium (Gillingham) — Gillingham
Grimsby Town,Blundell Park,Cleethorpes,9052,2024–25,4,England,https://en.wikipedia.org/wiki/2024–25_EFL_League_Two,9052,Cleethorpes,"Blundell Park, Cleethorpes, England",Blundell Park (Grimsby Town) — Cleethorpes
Harrogate Town,Wetherby Road,Harrogate,5000,2024–25,4,England,https://en.wikipedia.org/wiki/2024–25_EFL_League_Two,5000,Harrogate,"Wetherby Road, Harrogate, England",Wetherby Road (Harrogate Town) — Harrogate
Milton Keynes Dons,Stadium MK,Milton Keynes (Denbigh),30500,2024–25,4,England,https://en.wikipedia.org/wiki/2024–25_EFL_League_Two,30500,Milton Keynes (Denbigh),"Stadium MK, Milton Keynes (Denbigh), England",Stadium MK (Milton Keynes Dons) — Milton Keynes (Denbigh)
Morecambe,Mazuma Mobile Stadium,Morecambe,6476,2024–25,4,England,https://en.wikipedia.org/wiki/2024–25_EFL_League_Two,6476,Morecambe,"Mazuma Mobile Stadium, Morecambe, England",Mazuma Mobile Stadium (Morecambe) — Morecambe
Newport County,Rodney Parade,Newport,7850,2024–25,4,England,https://en.wikipedia.org/wiki/2024–25_EFL_League_Two,7850,Newport,"Rodney Parade, Newport, England",Rodney Parade (Newport County) — Newport
Notts County,Meadow Lane,Nottingham,19841,2024–25,4,England,https://en.wikipedia.org/wiki/2024–25_EFL_League_Two,19841,Nottingham,"Meadow Lane, Nottingham, England",Meadow Lane (Notts County) — Nottingham
Port Vale,Vale Park,Stoke-on-Trent (Burslem),15036,2024–25,4,England,https://en.wikipedia.org/wiki/2024–25_EFL_League_Two,15036,Stoke-on-Trent (Burslem),"Vale Park, Stoke-on-Trent (Burslem), England",Vale Park (Port Vale) — Stoke-on-Trent (Burslem)
Salford City,Moor Lane,Salford (Kersal),5108,2024–25,4,England,https://en.wikipedia.org/wiki/2024–25_EFL_League_Two,5108,Salford (Kersal),"Moor Lane, Salford (Kersal), England",Moor Lane (Salford City) — Salford (Kersal)
Swindon Town,County Ground,Swindon,15728,2024–25,4,England,https://en.wikipedia.org/wiki/2024–25_EFL_League_Two,15728,Swindon,"County Ground, Swindon, England",County Ground (Swindon Town) — Swindon
Tranmere Rovers,Prenton Park,Birkenhead (Prenton),16789,2024–25,4,England,https://en.wikipedia.org/wiki/2024–25_EFL_League_Two,16789,Birkenhead (Prenton),"Prenton Park, Birkenhead (Prenton), England",Prenton Park (Tranmere Rovers) — Birkenhead (Prenton)
Walsall,Bescot Stadium,Walsall (Bescot),11300,2024–25,4,England,https://en.wikipedia.org/wiki/2024–25_EFL_League_Two,11300,Walsall (Bescot),"Bescot Stadium, Walsall (Bescot), England",Bescot Stadium (Walsall) — Walsall (Bescot)
Arsenal,Arsenal Stadium,London (Highbury),38419,1999–2000,1,England,https://en.wikipedia.org/wiki/1999–2000_FA_Premier_League,38419,London (Highbury),"Arsenal Stadium, London (Highbury), England",Arsenal Stadium (Arsenal) — London (Highbury)
Aston Villa,Villa Park,Birmingham,42573,1999–2000,1,England,https://en.wikipedia.org/wiki/1999–2000_FA_Premier_League,42573,Birmingham,"Villa Park, Birmingham, England",Villa Park (Aston Villa) — Birmingham
Bradford City,Valley Parade,Bradford,25136,1999–2000,1,England,https://en.wikipedia.org/wiki/1999–2000_FA_Premier_League,25136,Bradford,"Valley Parade, Bradford, England",Valley Parade (Bradford City) — Bradford
Chelsea,Stamford Bridge,London (Fulham),42055,1999–2000,1,England,https://en.wikipedia.org/wiki/1999–2000_FA_Premier_League,42055,London (Fulham),"Stamford Bridge, London (Fulham), England",Stamford Bridge (Chelsea) — London (Fulham)
Coventry City,Highfield Road,Coventry,23489,1999–2000,1,England,https://en.wikipedia.org/wiki/1999–2000_FA_Premier_League,23489,Coventry,"Highfield Road, Coventry, England",Highfield Road (Coventry City) — Coventry
Derby County,Pride Park Stadium,Derby,33597,1999–2000,1,England,https://en.wikipedia.org/wiki/1999–2000_FA_Premier_League,33597,Derby,"Pride Park Stadium, Derby, England",Pride Park Stadium (Derby County) — Derby
Everton,Goodison Park,Liverpool (Walton),40569,1999–2000,1,England,https://en.wikipedia.org/wiki/1999–2000_FA_Premier_League,40569,Liverpool (Walton),"Goodison Park, Liverpool (Walton), England",Goodison Park (Everton) — Liverpool (Walton)
Leeds United,Elland Road,Leeds,40242,1999–2000,1,England,https://en.wikipedia.org/wiki/1999–2000_FA_Premier_League,40242,Leeds,"Elland Road, Leeds, England",Elland Road (Leeds United) — Leeds
Leicester City,Filbert Street,Leicester,22000,1999–2000,1,England,https://en.wikipedia.org/wiki/1999–2000_FA_Premier_League,22000,Leicester,"Filbert Street, Leicester, England",Filbert Street (Leicester City) — Leicester
Liverpool,Anfield,Liverpool (Anfield),45522,1999–2000,1,England,https://en.wikipedia.org/wiki/1999–2000_FA_Premier_League,45522,Liverpool (Anfield),"Anfield, Liverpool (Anfield), England",Anfield (Liverpool) — Liverpool (Anfield)
Manchester United,Old Trafford,Manchester,68174,1999–2000,1,England,https://en.wikipedia.org/wiki/1999–2000_FA_Premier_League,68174,Manchester,"Old Trafford, Manchester, England",Old Trafford (Manchester United) — Manchester
Middlesbrough,Riverside Stadium,Middlesbrough,35049,1999–2000,1,England,https://en.wikipedia.org/wiki/1999–2000_FA_Premier_League,35049,Middlesbrough,"Riverside Stadium, Middlesbrough, England",Riverside Stadium (Middlesbrough) — Middlesbrough
Newcastle United,St James' Park,Newcastle upon Tyne,52387,1999–2000,1,England,https://en.wikipedia.org/wiki/1999–2000_FA_Premier_League,52387,Newcastle upon Tyne,"St James' Park, Newcastle upon Tyne, England",St James' Park (Newcastle United) — Newcastle upon Tyne
Sheffield Wednesday,Hillsborough Stadium,Sheffield,39732,1999–2000,1,England,https://en.wikipedia.org/wiki/1999–2000_FA_Premier_League,39732,Sheffield,"Hillsborough Stadium, Sheffield, England",Hillsborough Stadium (Sheffield Wednesday) — Sheffield
Southampton,The Dell,Southampton,15200,1999–2000,1,England,https://en.wikipedia.org/wiki/1999–2000_FA_Premier_League,15200,Southampton,"The Dell, Southampton, England",The Dell (Southampton) — Southampton
Sunderland,Stadium of Light,Sunderland,49000,1999–2000,1,England,https://en.wikipedia.org/wiki/1999–2000_FA_Premier_League,49000,Sunderland,"Stadium of Light, Sunderland, England",Stadium of Light (Sunderland) — Sunderland
Tottenham Hotspur,White Hart Lane,London (Tottenham),36240,1999–2000,1,England,https://en.wikipedia.org/wiki/1999–2000_FA_Premier_League,36240,London (Tottenham),"White Hart Lane, London (Tottenham), England",White Hart Lane (Tottenham Hotspur) — London (Tottenham)
Watford,Vicarage Road,Watford,19920,1999–2000,1,England,https://en.wikipedia.org/wiki/1999–2000_FA_Premier_League,19920,Watford,"Vicarage Road, Watford, England",Vicarage Road (Watford) — Watford
West Ham United,Boleyn Ground,London (Upton Park),35647,1999–2000,1,England,https://en.wikipedia.org/wiki/1999–2000_FA_Premier_League,35647,London (Upton Park),"Boleyn Ground, London (Upton Park), England",Boleyn Ground (West Ham United) — London (Upton Park)
Wimbledon,Selhurst Park,London (Selhurst),26074,1999–2000,1,England,https://en.wikipedia.org/wiki/1999–2000_FA_Premier_League,26074,London (Selhurst),"Selhurst Park, London (Selhurst), England",Selhurst Park (Wimbledon) — London (Selhurst)
Leeds United,Elland Road,,39460,2007–08,3,England,https://en.wikipedia.org/wiki/2007–08_Football_League_One,39460,,"Elland Road, England",Elland Road (Leeds United)
Nottingham Forest,City Ground,,30602,2007–08,3,England,https://en.wikipedia.org/wiki/2007–08_Football_League_One,30602,,"City Ground, England",City Ground (Nottingham Forest)
Huddersfield Town,Galpharm Stadium,,24500,2007–08,3,England,https://en.wikipedia.org/wiki/2007–08_Football_League_One,24500,,"Galpharm Stadium, England",Galpharm Stadium (Huddersfield Town)
Port Vale,Vale Park,,22356,2007–08,3,England,https://en.wikipedia.org/wiki/2007–08_Football_League_One,22356,,"Vale Park, England",Vale Park (Port Vale)
Swansea City,Liberty Stadium,,20532,2007–08,3,England,https://en.wikipedia.org/wiki/2007–08_Football_League_One,20532,,"Liberty Stadium, England",Liberty Stadium (Swansea City)
Millwall,The Den,,20146,2007–08,3,England,https://en.wikipedia.org/wiki/2007–08_Football_League_One,20146,,"The Den, England",The Den (Millwall)
Carlisle United,Brunton Park Stadium,,16981,2007–08,3,England,https://en.wikipedia.org/wiki/2007–08_Football_League_One,16981,,"Brunton Park Stadium, England",Brunton Park Stadium (Carlisle United)
Tranmere Rovers,Prenton Park,,16567,2007–08,3,England,https://en.wikipedia.org/wiki/2007–08_Football_League_One,16567,,"Prenton Park, England",Prenton Park (Tranmere Rovers)
Swindon Town,The County Ground,,15728,2007–08,3,England,https://en.wikipedia.org/wiki/2007–08_Football_League_One,15728,,"The County Ground, England",The County Ground (Swindon Town)
Doncaster Rovers,Keepmoat Stadium,,15231,2007–08,3,England,https://en.wikipedia.org/wiki/2007–08_Football_League_One,15231,,"Keepmoat Stadium, England",Keepmoat Stadium (Doncaster Rovers)
Southend United,Roots Hall,,12306,2007–08,3,England,https://en.wikipedia.org/wiki/2007–08_Football_League_One,12306,,"Roots Hall, England",Roots Hall (Southend United)
Bristol Rovers,Memorial Stadium,,11916,2007–08,3,England,https://en.wikipedia.org/wiki/2007–08_Football_League_One,11916,,"Memorial Stadium, England",Memorial Stadium (Bristol Rovers)
Gillingham,Priestfield Stadium,,11582,2007–08,3,England,https://en.wikipedia.org/wiki/2007–08_Football_League_One,11582,,"Priestfield Stadium, England",Priestfield Stadium (Gillingham)
Walsall,Bescot Stadium,,11300,2007–08,3,England,https://en.wikipedia.org/wiki/2007–08_Football_League_One,11300,,"Bescot Stadium, England",Bescot Stadium (Walsall)
AFC Bournemouth,Dean Court,,10700,2007–08,3,England,https://en.wikipedia.org/wiki/2007–08_Football_League_One,10700,,"Dean Court, England",Dean Court (AFC Bournemouth)
Oldham Athletic,Boundary Park,,10638,2007–08,3,England,https://en.wikipedia.org/wiki/2007–08_Football_League_One,10638,,"Boundary Park, England",Boundary Park (Oldham Athletic)
Luton Town,Kenilworth Road,,10260,2007–08,3,England,https://en.wikipedia.org/wiki/2007–08_Football_League_One,10260,,"Kenilworth Road, England",Kenilworth Road (Luton Town)
Crewe Alexandra,Alexandra Stadium,,10046,2007–08,3,England,https://en.wikipedia.org/wiki/2007–08_Football_League_One,10046,,"Alexandra Stadium, England",Alexandra Stadium (Crewe Alexandra)
